"stand_roi","hit_roi","split_roi","double_down_roi","player_card_1","player_card_2","dealer_card"
-0.202929721782211,-0.336220111772071,NA,-0.672440223544142,10,4,4
-0.246282168361507,-0.350815846881295,NA,-0.70163169376259,10,4,3
-0.289235687262762,-0.364353410250698,NA,-0.728706820501395,10,4,2
-0.598458116423265,-0.468857119762845,NA,-0.959221502617748,10,4,1
-0.535585799110821,-0.474063769826807,NA,-0.953611261346093,7,7,10
-0.545528193816182,-0.43791161441076,NA,-0.894019010165221,7,7,9
-0.515766445891172,-0.377708540418325,NA,-0.780905747297946,7,7,8
-0.479131606766998,-0.331783817400416,NA,-0.691921112737454,7,7,7
-0.123474880089194,-0.317996848288415,NA,-0.63599369657683,7,7,6
-0.162425305973196,-0.329706964972214,NA,-0.659413929944428,7,7,5
-0.198315413946558,-0.341577343943944,NA,-0.683154687887889,7,7,4
-0.241517651503829,-0.356296676985094,NA,-0.712593353970188,7,7,3
-0.282721489075604,-0.370556857592828,NA,-0.741113715185655,7,7,2
-0.59267268589916,-0.477592446992953,NA,-0.976447623373566,7,7,1
-0.54024611969789,-0.420242164988978,NA,-0.858713428133803,10,3,10
-0.542057179061866,-0.382711905392598,NA,-0.798989183792275,10,3,9
-0.511294984972896,-0.32442465111728,NA,-0.693346430829082,10,3,8
-0.474609380479649,-0.269266571659311,NA,-0.586649902962219,10,3,7
-0.121085676651115,-0.239032002934723,NA,-0.478064005869447,10,3,6
-0.160698486540178,-0.254211407722956,NA,-0.508422815445913,10,3,5
-0.203381041205679,-0.27223062996223,NA,-0.54446125992446,10,3,4
-0.24881062571277,-0.290528325718552,NA,-0.581056651437104,10,3,3
-0.289351991891503,-0.30797282654344,NA,-0.615945653086879,10,3,2
-0.598822694321288,-0.42700989361458,NA,-0.895384766152445,10,3,1
-0.540336568049304,-0.375660008143701,NA,-0.787818924911909,10,2,10
-0.540640604233998,-0.340701321090062,NA,-0.738845609037595,10,2,9
-0.5116338387242,-0.272001527080742,NA,-0.617341822883597,10,2,8
-0.474934736770196,-0.212637978223631,NA,-0.504855387810045,10,2,7
-0.121479355459226,-0.170569072221162,NA,-0.341138144442324,10,2,6
-0.16112623571583,-0.188759127810586,NA,-0.377518255621171,10,2,5
-0.205906109129897,-0.210664313377865,NA,-0.421328626755731,10,2,4
-0.24892298985379,-0.231677611468781,NA,-0.463355222937561,10,2,3
-0.289434619435851,-0.252223742075274,NA,-0.504447484150549,10,2,2
-0.599164297126849,-0.383367039325723,NA,-0.834064788457403,10,2,1
-0.542782795865763,-0.381952542654188,NA,-0.798288017357573,6,6,10
-0.543904551018203,-0.347154650578846,NA,-0.749935124904395,6,6,9
-0.514636367200938,-0.279300948715656,NA,-0.6305368984839,6,6,8
-0.477738139657001,-0.220562147230962,NA,-0.520122839318397,6,6,7
-0.121826821296131,-0.175210888012542,NA,-0.350421776025083,6,6,6
-0.154527153069672,-0.188676882198295,NA,-0.37735376439659,6,6,5
-0.19687917271925,-0.210301770231033,NA,-0.420603540462066,6,6,4
-0.240493269378663,-0.232218846904579,NA,-0.464437693809157,6,6,3
-0.281702468994569,-0.253613555840407,NA,-0.507227111680814,6,6,2
-0.594466008998214,-0.387285234338692,NA,-0.836669871870445,6,6,1
-0.539812530683161,0.117045671369622,NA,0.173922692319983,9,2,10
-0.540098469034515,0.155832142279289,NA,0.225459512605267,9,2,9
-0.511055424275257,0.22761466420754,NA,0.346978992791602,9,2,8
-0.478284428192966,0.291741072914061,NA,0.461867879178171,9,2,7
-0.120933160151359,0.334401299819222,NA,0.668802599638444,9,2,6
-0.160457128032308,0.312257570179539,NA,0.624515140359078,9,2,5
-0.205199901550052,0.285533368494774,NA,0.571066736989548,9,2,4
-0.248181234973212,0.261294722959863,NA,0.52098947565813,9,2,3
-0.285599827030287,0.241465277310477,NA,0.478394708713674,9,2,2
-0.596905518506024,0.107036276783075,NA,0.115609017368997,9,2,1
0.554554931712399,0.0226886297063971,NA,-0.0154269361355193,9,1,10
0.759490196888817,0.113197921475267,NA,0.138523447459845,9,1,9
0.790658090606927,0.193712561153265,NA,0.277473205525951,9,1,8
0.773272832036455,0.254646811446721,NA,0.385937901609251,9,1,7
0.677574367866929,0.28148740562965,NA,0.5629748112593,9,1,6
0.670407545723142,0.257717422182225,NA,0.515434844364449,9,1,5
0.655843578784502,0.22943705763249,NA,0.458874115264979,9,1,4
0.645252826446776,0.203436528814386,NA,0.405273087367176,9,1,3
0.637641668448838,0.182198527211862,NA,0.360050202095914,9,1,2
0.605486313145306,0.0304893096261212,NA,-0.0407234260696208,9,1,1
-0.539224741993195,0.0261943387777011,NA,-0.0063598198573413,8,2,10
-0.53951721452298,0.116883047059225,NA,0.14869832463238,8,2,9
-0.514402152154453,0.199178103796266,NA,0.287563804076713,8,2,8
-0.477421967716567,0.258575896556984,NA,0.396342216763797,8,2,7
-0.120237083939673,0.285645177231829,NA,0.571290354463659,8,2,6
-0.159743445457873,0.262221887308025,NA,0.524443774616051,8,2,5
-0.204385810350625,0.233346430804304,NA,0.466692861608608,8,2,4
-0.244250648197351,0.210339520100475,NA,0.419210924336111,8,2,3
-0.284918879438494,0.185608095372344,NA,0.366979490257126,8,2,2
-0.595855149492672,0.0338718649507614,NA,-0.0301258232784681,8,2,1
-0.541033112320309,0.0271538114489223,NA,-0.0040705517042029,5,5,10
-0.542661195627819,0.11665336207906,NA,0.149188343824478,5,5,9
-0.51332496852363,0.19953708158974,NA,0.293033362634342,5,5,8
-0.476216861594441,0.26039416239922,NA,0.404746313429348,5,5,7
-0.113899617343467,0.293773428864783,NA,0.587546857729566,5,5,6
-0.153103354575283,0.269828847764355,NA,0.539657695528711,5,5,5
-0.195931287580094,0.239693477983146,NA,0.479386955966291,5,5,4
-0.239514785761274,0.212595098402896,NA,0.423860855737043,5,5,3
-0.280711395355484,0.187677760260963,NA,0.371112437752057,5,5,2
-0.595732499410417,0.0344584605995336,NA,-0.0255884350063342,5,5,1
0.0633213503142009,-0.087615727232633,NA,-0.233592348913112,8,1,10
0.287618024310731,0.00744203489379582,NA,-0.0711606708062698,8,1,9
0.595895928038712,0.152903546552559,NA,0.193997248428614,8,1,8
0.615733807334482,0.220955863829933,NA,0.320560204730758,8,1,7
0.452220357694917,0.23104463151487,NA,0.46208926302974,8,1,6
0.439914444590322,0.206221647881697,NA,0.412443295763393,8,1,5
0.415569786912294,0.176002209209018,NA,0.352004418418036,8,1,4
0.399786688913498,0.151059395133753,NA,0.300697231516792,8,1,3
0.380750848846348,0.121117284574832,NA,0.237658416134215,8,1,2
0.189505580067513,-0.0646535029943661,NA,-0.22824510801956,8,1,1
-0.53859453973332,-0.153085830608954,NA,-0.461748984961855,7,2,10
-0.542861020963593,-0.0521706367810964,NA,-0.297010765091453,7,2,9
-0.51353651437068,0.099740853569217,NA,-0.0216816647574052,7,2,8
-0.476858480996687,0.174275663541713,NA,0.113595258921217,7,2,7
-0.11952705927892,0.189590393929921,NA,0.311309518976506,7,2,6
-0.158921749231702,0.163418723750189,NA,0.256390527133207,7,2,5
-0.200459813897965,0.133799100494226,NA,0.19428284632716,7,2,4
-0.243573011453019,0.104036058210435,NA,0.130522010482619,7,2,3
-0.284456807415258,0.0739131236204429,NA,0.067870369064516,7,2,2
-0.594779059085806,-0.126812457591477,NA,-0.454399826587674,7,2,1
-0.179562648181504,-0.142911644377117,NA,-0.342747443375445,7,1,10
-0.182639937156411,-0.0984690215930744,NA,-0.28482492950122,7,1,9
0.108056712342881,0.0410278301533325,NA,-0.0281892445176925,7,1,8
0.401861094960112,0.171871845899005,NA,0.223664379085337,7,1,7
0.222597733224316,0.178453104947434,NA,0.356906209894868,7,1,6
0.19899769959678,0.151131548425135,NA,0.302263096850269,7,1,5
0.171028013212953,0.122397235013959,NA,0.244794470027919,7,1,4
0.141583949219,0.0882302476274337,NA,0.175215171660935,7,1,3
0.113110152587415,0.0604413761119446,NA,0.116261613166522,7,1,2
-0.225365730406471,-0.160455085186258,NA,-0.417823688243675,7,1,1
-0.542219929874195,-0.24960662805125,NA,-0.746677279008152,6,2,10
-0.542034024939237,-0.209881059324779,NA,-0.714107809079071,6,2,9
-0.512930858879611,-0.0592141533159336,NA,-0.449931324017164,6,2,8
-0.476165322119264,0.083938765796602,NA,-0.180926914433115,6,2,7
-0.118702709751465,0.106753893014685,NA,0.0821918718813758,6,2,6
-0.154972602250445,0.0793022512861388,NA,0.0223246343719909,6,2,5
-0.199757272622293,0.0437583570389098,NA,-0.0540373865559193,6,2,4
-0.243094240302261,0.00837153879789707,NA,-0.128417533214351,6,2,3
-0.283948983875166,-0.0228708274605086,NA,-0.199767293493975,6,2,2
-0.59570025468696,-0.265893248546689,NA,-0.831491533288674,6,2,1
-0.541265934384294,-0.247993630590503,NA,-0.745111955273784,4,4,10
-0.542865410324527,-0.209848100334466,NA,-0.715694396615982,4,4,9
-0.513430518323001,-0.0590902818542537,NA,-0.451035520180888,4,4,8
-0.473282916834775,0.0866162139302307,NA,-0.175100049167977,4,4,7
-0.114084662773869,0.113364667207833,NA,0.0929285620547455,4,4,6
-0.15379546406701,0.0828152082030484,NA,0.0269240739754482,4,4,5
-0.196632555897339,0.0463221624200678,NA,-0.050931054376902,4,4,4
